query_id,query,case_type,method,rank,product_id,title,brand,esci_label,score,query_ndcg_difference
40834,fitbit charge 3,largest_improvement,combined_lexical,1,B084HLHC4Q,"Adepoy Compatible with Fitbit Charge 3 Bands/Fitbit Charge 4 Bands for Women Men, Adjustable Replacement Wristbands for Fitbit Charge 3 SE and Fitbit Charge 4, Black, Large",Adepoy,C,0.8425336480140686,0.9738885321194843
40834,fitbit charge 3,largest_improvement,combined_lexical,2,B08741P5CZ,"ANATYU Easy-Fit Metal Bands Compatible Fitbit Charge 3/ Fitbit Charge3 SE/Fitbit Charge 4/ Fitbit Charge4 SE, Replacement Wristbands for Women Men Small Large (Small, Purple)",ANATYU,C,0.7953793406486511,0.9738885321194843
40834,fitbit charge 3,largest_improvement,combined_lexical,3,B0861G538Q,"Adepoy Compatible with Fitbit Charge 4 / Fitbit Charge 3 Bands for Women Men, Adjustable Stainless Steel Mesh Wristband for Fitbit Charge 3 SE (Rose Gold, Small)",Adepoy,C,0.7735117673873901,0.9738885321194843
40834,fitbit charge 3,largest_improvement,combined_lexical,4,B085FZ5HT2,"poshei 4 Packs Bands Compatible with Fitbit Charge 4 / Fitbit Charge 3 / Fitbit Charge 3 SE for Women and Men, Classic Replacement Wristband, Soft Silicon Waterproof Quick Release Sports Strap",poshei,C,0.7417112588882446,0.9738885321194843
40834,fitbit charge 3,largest_improvement,combined_lexical,5,B085G7VSGW,"poshei 4 Packs Bands Compatible with Fitbit Charge 4 / Fitbit Charge 3 / Fitbit Charge 3 SE for Women and Men, Classic Replacement Wristband, Soft Silicon Waterproof Quick Release Sports Strap",poshei,C,0.7417112588882446,0.9738885321194843
40834,fitbit charge 3,largest_improvement,combined_lexical,6,B01LZKMVEC,Zacro Fitbit Charge 2 Charger 2Pcs Replacement USB Charger Charging Cable for Fitbit Charge 2 with Cable Cradle Dock Adapter for Fitbit Charge 2 Smart Watch(3.3 feet +1.6 feet),Zacro,I,0.7390433549880981,0.9738885321194843
40834,fitbit charge 3,largest_improvement,combined_lexical,7,B087G4KTQ7,"[2 Pack] Woven Fabric Bands Compatible with Fitbit Charge 4, Fitbit Charge 3 / Charge 3 SE for Women Men, Dark Green & Grey",Tobfit,C,0.7360364198684692,0.9738885321194843
40834,fitbit charge 3,largest_improvement,combined_lexical,8,B07WK213S2,"Compatible with Fitbit Charge 4 Bands/Fitbit Charge 3 Bands for Women Men, Breathable with Air Holes Replacement Wristbands for Fitbit Charge 3 SE, Black, Gray, Large",Adepoy,C,0.7348208427429199,0.9738885321194843
40834,fitbit charge 3,largest_improvement,combined_lexical,9,B08728Y7M7,"Recoppa Compatible with Fitbit Charge 3 Bands/Fitbit Charge 4 Bands for Women Men, Waterproof Wristbands with Breathable Holes Compatible for Fitbit Charge 3 SE, Slate",Recoppa,C,0.7165079116821289,0.9738885321194843
40834,fitbit charge 3,largest_improvement,combined_lexical,10,B0892S55ZJ,"VNCAS Metal Bands Compatible with Fitbit Charge 4/ Charge 3/ Charge 3 SE for Women, Men, Stainless Steel Mesh Band Replacement for Fitbit Charge 3/ Charge 4 Fitness Tracker, Small, Space Gray",VNCAS,C,0.6990883946418762,0.9738885321194843
40834,fitbit charge 3,largest_improvement,combined_lexical,11,B07FTKYKWX,"Fitbit Charge 3 Accessory Band, Official Fitbit Product, Sport, Black, Small",Fitbit,C,0.6977669596672058,0.9738885321194843
40834,fitbit charge 3,largest_improvement,combined_lexical,12,B07PQZNHDM,"Wepro Waterproof Bands Compatible with Fitbit Charge 4 / Charge 3 / Charge 3 SE for Women Men, 3-Pack Replacement Wristbands for Fitbit Charge 3 / Charge 4, Small, Pink Sand, Cream Yellow, Aqua",Wepro,C,0.6916435360908508,0.9738885321194843
